"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18016","TC_13 [Vietnamese] - Verify searching by dial code filters the country list","Beat SFC [Vietnamese]","2026-09-02","broken","2026-09-02","","Express Signup - Login/OTP Popup [Vietnamese]","",""
"","2855","TC_05 [English] - verify FIFA world cup banner is displayed and after clicking on it, It redirects to the FIFA page","Dashboard Validation (English)","2026-09-02","passed","2026-09-02","","","",""
"","31933","TC_30 [Vietnamese] - Verify language setting applies globally to other pages such as Dashboard","Profile Page (Vietnamese)","2026-09-02","broken","2026-09-02","","5. Preferences Tab","",""
"","1505","TC_10 [English] - Verify Personalisation interest chip images (FIFA WC™, Brazil, Neymar Jr.) are displayed","Landing Page Validation (English)","2026-09-02","passed","2026-09-02","","","",""
"","1646","TC_07 [English] — Terms and Privacy links preserve entered phone number","Signup Journey — Join Page (English)","2026-09-02","passed","2026-09-02","","","",""
"","12091","TC08 [English] — User is fully authenticated on Dashboard after completing signup","Smoke Suite [English]","2026-09-02","broken","2026-09-02","","","",""
"","450","TC_04 [English] - All 15 numbered sections are present","Privacy Policy (English)","2026-09-02","passed","2026-09-02","","","",""
"","3834","TC_11 [English] — Valid phone number triggers OTP dispatch and navigates to the OTP verification page","Organic Signup Journey (English)","2026-09-02","passed","2026-09-02","","OTP Page — submission and display","",""
"","124","TC_04 [English] - Verify date/time element in header contains numeric content","Upcoming Match Details Page [English]","2026-09-02","passed","2026-09-02","","2. Match Header [English]","",""
"","3270","TC_27 [Vietnamese] - Verify Knockout tab presence and Standings tab content on Brasileiro Serie A 2026 page","Tournament Pages [Vietnamese]","2026-09-02","passed","2026-09-02","","Brasileiro Serie A 2026 [Vietnamese]","",""
"","1482","TC_14 [English] - Verify Prediction card with Argentina and France data is displayed","Landing Page Validation (English)","2026-09-02","passed","2026-09-02","","","",""
"","9009","TC_01 [Vietnamese] - Verify Team Details page is reachable and loads correctly from Canadian Premier League 2026","Team Details Page [Vietnamese]","2026-09-02","passed","2026-09-02","","1. Cross-Tournament Reachability [Vietnamese]","",""
"","5091","TC_17 [English] — Clicking Continue with all fields valid redirects to the OTP page","Blue Moon — Signup Details Page (English)","2026-09-02","passed","2026-09-02","","","",""
"","5306","TC_07 [English] - Verify navigation to Brasileiro Serie B 2026 and URL/heading are correct","Tournament Pages [English]","2026-09-02","passed","2026-09-02","","Brasileiro Serie B 2026 [English]","",""
"","0","TC_39 [English] - Verify clicking Viber row redirects to the Viber channel in a new tab [Viber removed from Community tab]","","2026-09-02","skipped","2026-09-02","","","",""
"","0","TC_24 [English] — Direct URL to link-telegram is blocked without OTP verification [Product defect: route not protected]","","2026-09-02","skipped","2026-09-02","","","",""
"","72694","TC_15 [Vietnamese] — Entering an incorrect OTP displays an error and allows the user to retry","Organic Signup Journey (Vietnamese)","2026-09-02","passed","2026-09-02","","OTP Page — incorrect code","",""
"","9734","TC_16 [Vietnamese] - Verify tapping the favorite icon as a guest prompts sign-up/login","Team Details Page [Vietnamese]","2026-09-02","passed","2026-09-02","","2. Navigation & Header [Vietnamese]","",""
"","5394","TC14 [Vietnamese] — Clicking an upcoming match card navigates to Match Details page","Smoke Suite [Vietnamese]","2026-09-02","passed","2026-09-02","","","",""
"","30047","TC_31 [English] - Verify standings shows team logos for at least 4 teams","Recent Match Details Page [English]","2026-09-02","broken","2026-09-02","","8. Rankings Tab [English]","",""
"","189","TC_08 [English] - Verify clicking Account tab makes it active and loads DATA & PRIVACY section with all three rows","Profile Page (English)","2026-09-02","passed","2026-09-02","","4. Account Tab","",""
"","1532","TC_12 [English] — Phone and name fields are safe against injection-style input","Signup Journey — Join Page (English)","2026-09-02","passed","2026-09-02","","","",""
"","624","TC_35 [Vietnamese] - Verify all 7 social channel rows display correct channel names","Profile Page (Vietnamese)","2026-09-02","passed","2026-09-02","","7. Community Tab","",""
"","19030","TC_04 [Vietnamese] — Clicking the Login/Signup CTA on the Preferences tab navigates to the phone number entry page","Organic Signup Journey (Vietnamese)","2026-09-02","passed","2026-09-02","","Guest Dashboard","",""
"","2974","TC_18 [English] - Verify clicking a Trending Series card navigates to the series detail page","Dashboard Validation (English)","2026-09-02","passed","2026-09-02","","","",""
"","1264","TC26 [Vietnamese] — Profile header displays Guest state and Login/Signup button","Smoke Suite [Vietnamese]","2026-09-02","passed","2026-09-02","","","",""
"","1798","TC_43 [English] — Repeated wrong OTP attempts trigger lockout or throttling","OTP Verification — Wrong-Attempt Tests [English]","2026-09-02","passed","2026-09-02","","","",""
"","7128","TC_07 [Vietnamese] - Verify Cancel/No on the logout confirmation popup keeps the user logged in","Logout (Vietnamese)","2026-09-02","passed","2026-09-02","","1. Logout Control Visibility & Non-Destructive Popup Checks [Vietnamese]","",""
"","295","TC_27 [English] - Verify team names in match header match team names shown in Lineups tab","Recent Match Details Page [English]","2026-09-02","passed","2026-09-02","","7. Data Consistency [English]","",""
"","3470","TC_31 [English] - Verify clicking Team B WIN in Guess the Winner triggers the Express Signup popup","Beat SFC [English]","2026-09-02","passed","2026-09-02","","Match Details - Beat Aiko Widgets (Pre-login) [English]","",""
"","3423","TC_24 [English] - Verify Knockout tab presence and Standings tab content on CONMEBOL Libertadores 2026 page","Tournament Pages [English]","2026-09-02","passed","2026-09-02","","CONMEBOL Libertadores 2026 [English]","",""
"","1904","TC_12 [English] — Phone number field sanitizes/rejects script or injection-style input without executing it or causing errors","Details Page [English]","2026-09-02","passed","2026-09-02","","","",""
"","84","TC_02 [English] - Verify the Logout button displays the correct label and icon","Logout (English)","2026-09-02","passed","2026-09-02","","1. Logout Control Visibility & Non-Destructive Popup Checks","",""
"","3443","TC_04 [English] - Verify Dashboard Filters are displayed","Dashboard Validation (English)","2026-09-02","passed","2026-09-02","","","",""
"","248","TC_13 [English] - Verify Team Statistics section heading is displayed","Recent Match Details Page [English]","2026-09-02","passed","2026-09-02","","5. Stats Tab [English]","",""
"","121","TC_23 [English] - Verify Vietnamese language option displays 🇻🇳 flag and Tiếng Việt sub-label","Profile Page (English)","2026-09-02","passed","2026-09-02","","5. Preferences Tab","",""
"","907","TC_27 [English] - Verify only one language can be selected at a time (mutual exclusion)","Profile Page (English)","2026-09-02","passed","2026-09-02","","5. Preferences Tab","",""
"","143","TC_25 [Vietnamese] - Verify selecting English highlights it with a filled selection indicator","Profile Page (Vietnamese)","2026-09-02","passed","2026-09-02","","5. Preferences Tab","",""
"","3229","TC_19 [English] — Network failure during OTP verification shows an appropriate error","OTP Verification [English]","2026-09-02","passed","2026-09-02","","","",""
"","15036","TC_12 [Vietnamese] - Verify no leftover authenticated data is shown after logout completes","Logout (Vietnamese)","2026-09-02","broken","2026-09-02","","2. Logout Execution & Redirect [Vietnamese]","",""
"","22946","TC_36 [English] — Language (English) persists consistently across all steps of the journey","E2E Journey [English]","2026-09-02","broken","2026-09-02","","","",""
"","5610","TC_01 [English] - Verify navigation to Canadian Premier League 2026 and URL/heading are correct","Tournament Pages [English]","2026-09-02","passed","2026-09-02","","Canadian Premier League 2026 [English]","",""
"","2235","TC_49 [English] - Verify language selection in Preferences tab persists when switching to other tabs and back","Profile Page (English)","2026-09-02","passed","2026-09-02","","9. Tab Switching","",""
"","2060","TC_19 [Vietnamese] — No Login/Signup CTA is shown anywhere in Settings once the user is logged in","Organic Signup Journey (Vietnamese)","2026-09-02","passed","2026-09-02","","Post-Login Dashboard and Settings","",""
"","6542","TC_30 [English] — ""Go to sportsfc.fans"" navigates to the Dashboard","Welcome Page (English)","2026-09-02","passed","2026-09-02","","","",""
"","16947","TC_44 [English] - Verify clicking YouTube row redirects to the YouTube channel in a new tab","Profile Page (English)","2026-09-02","broken","2026-09-02","","8. Community Tab – Social Redirections","",""
"","6870","TC_36 [English] — User who exits at Link Telegram can resume onboarding on return","E2E Journey (English)","2026-09-02","passed","2026-09-02","","","",""
"","6471","TC07 [Vietnamese] — ""Đi tới sportsfc.fans →"" on Welcome page navigates to the Dashboard","Smoke Suite [Vietnamese]","2026-09-02","passed","2026-09-02","","","",""
"","5299","TC_10 [Vietnamese] - Verify navigation to CONMEBOL Sudamericana 2026 and URL/heading are correct","Tournament Pages [Vietnamese]","2026-09-02","passed","2026-09-02","","CONMEBOL Sudamericana 2026 [Vietnamese]","",""
"","143603","TC_07 [Vietnamese] - Verify Team Details page is reachable and loads correctly from J1 League 26/27","Team Details Page [Vietnamese]","2026-09-02","skipped","2026-09-02","","1. Cross-Tournament Reachability [Vietnamese]","",""
"","3416","TC_27 [Vietnamese] - Verify navigating to Match Details via the Match Card (not the banner) shows no popup and all 3 Beat Aiko sections are visible","Beat SFC [Vietnamese]","2026-09-02","passed","2026-09-02","","Match Details - Beat Aiko Widgets (Pre-login) [Vietnamese]","",""
"","10833","TC_33 [English] — Back button at each step returns to previous step, not forward in flow","E2E Journey (English)","2026-09-02","passed","2026-09-02","","","",""
"","6672","TC_27 [English] - Verify an appropriate state is shown when the team has no recent results","Team Details Page [English]","2026-09-02","passed","2026-09-02","","4. Recent Results [English]","",""
"","84965","TC_09 [Vietnamese] - Verify Team Details page is reachable and loads correctly from Brasileiro Serie A 2026","Team Details Page [Vietnamese]","2026-09-02","skipped","2026-09-02","","1. Cross-Tournament Reachability [Vietnamese]","",""
"","268","TC_33 [Vietnamese] - Verify clicking Community tab makes it active and loads all 7 social channels","Profile Page (Vietnamese)","2026-09-02","passed","2026-09-02","","7. Community Tab","",""
"","2543","TC_14 [English] — Continue stays disabled with only the mobile number filled","Blue Moon — Signup Details Page (English)","2026-09-02","passed","2026-09-02","","","",""
"","2952","TC_21 [Vietnamese] - Verify Knockout tab presence and Standings tab content on J1 League 26/27 page","Tournament Pages [Vietnamese]","2026-09-02","passed","2026-09-02","","J1 League 26/27 [Vietnamese]","",""
"","6534","TC_17 [English] - Verify the team crest/flag icon displays correctly","Team Details Page [English]","2026-09-02","passed","2026-09-02","","2. Navigation & Header [English]","",""
"","1590","TC_15 [Vietnamese] - Verify clicking Cookie Policy redirects to the Cookie Policy page","Profile Page (Vietnamese)","2026-09-02","passed","2026-09-02","","4. Account Tab","",""
"","2207","TC_11 [English] — Blank/whitespace-only name keeps Continue disabled","Blue Moon — Signup Details Page (English)","2026-09-02","passed","2026-09-02","","","",""
"","485","TC_06 [English] - Minimum age requirement (18 years) is stated","Terms of Use (English)","2026-09-02","passed","2026-09-02","","","",""
"","6561","TC_13 [Vietnamese] — Network failure on Sign Up shows an appropriate error","Details Page [Vietnamese]","2026-09-02","passed","2026-09-02","","","",""
"","1380","TC25 [English] — Profile page loads successfully via direct URL","Smoke Suite [English]","2026-09-02","passed","2026-09-02","","","",""
"","82","TC_12 [English] - Verify Privacy Policy row is displayed and clickable","Profile Page (English)","2026-09-02","passed","2026-09-02","","4. Account Tab","",""
"","497","TC_10 [English] - No horizontal overflow on mobile viewport","Privacy Policy (English)","2026-09-02","passed","2026-09-02","","","",""
"","17050","TC_42 [English] - Verify clicking Instagram row redirects to the Instagram profile in a new tab","Profile Page (English)","2026-09-02","broken","2026-09-02","","8. Community Tab – Social Redirections","",""
"","5114","TC_13 [Vietnamese] - Verify navigation to K-League 1 2026 and URL/heading are correct","Tournament Pages [Vietnamese]","2026-09-02","passed","2026-09-02","","K-League 1 2026 [Vietnamese]","",""
"","58","TC_04 [English] - Verify final score is displayed between team names in match header","Recent Match Details Page [English]","2026-09-02","passed","2026-09-02","","2. Match Header [English]","",""
"","123","TC_12 [Vietnamese] — Page displays the exact phone number entered, 6 separate OTP boxes, and an active resend countdown","Organic Signup Journey (Vietnamese)","2026-09-02","passed","2026-09-02","","OTP Page — submission and display","",""
"","3061","TC_20 [English] - Verify Overview and Matches tabs display content on J1 League 26/27 page","Tournament Pages [English]","2026-09-02","passed","2026-09-02","","J1 League 26/27 [English]","",""
"","4998","TC_01 [Vietnamese] — Sign Up CTA on landing navigates to the Details page","Red Journey V4 (Vietnamese) — Landing Page","2026-09-02","passed","2026-09-02","","","",""
"","3133","TC_15 [English] - Verify Knockout tab presence and Standings tab content on K-League 1 2026 page","Tournament Pages [English]","2026-09-02","passed","2026-09-02","","K-League 1 2026 [English]","",""
"","8513","TC_05 [English] - Verify the Logout button is reachable and operable via keyboard","Logout (English)","2026-09-02","passed","2026-09-02","","1. Logout Control Visibility & Non-Destructive Popup Checks","",""
"","5962","TC_34 [Vietnamese] — Back button at each step returns to previous step, not forward in flow","E2E Journey [Vietnamese]","2026-09-02","passed","2026-09-02","","","",""
"","1474","TC_57 [Vietnamese] - Verify Profile page layout is correct on tablet viewport 768x1024","Profile Page (Vietnamese)","2026-09-02","passed","2026-09-02","","11. UI & Responsive","",""
"","1378","TC_17 [English] - Verify The Edge section widgets (MATCH PREDICTION, KEY INSIGHTS) are displayed","Landing Page Validation (English)","2026-09-02","passed","2026-09-02","","","",""
"","6160","TC_26 [English] — Telegram-linked status: Connect CTA enabled; Skip path shows no Telegram link","Link Telegram (English)","2026-09-02","passed","2026-09-02","","","",""
"","121","TC_18 [English] - Verify Profile header Login/Signup button remains visible and functional on Account tab","Profile Page (English)","2026-09-02","passed","2026-09-02","","4. Account Tab","",""
"","760","TC_10 [English] - Browser tab title contains ""Terms of Use""","Terms of Use (English)","2026-09-02","passed","2026-09-02","","","",""
"","392","TC_07 [English] - Verify all four tabs are displayed and Overview is active by default","Upcoming Match Details Page [English]","2026-09-02","passed","2026-09-02","","3. Match Detail Tabs [English]","",""
"","134","TC_31 [Vietnamese] - Verify guest user name and Login/Signup button are displayed correctly in Vietnamese","Profile Page (Vietnamese)","2026-09-02","passed","2026-09-02","","6. Guest User","",""
"","7224","TC_02 [English] - Verify Team Details page is reachable and loads correctly from Africa Cup of Nations Qualification 2026","Team Details Page [English]","2026-09-02","passed","2026-09-02","","1. Cross-Tournament Reachability [English]","",""
"","451","TC_08 [English] - Governing law (Samoa) jurisdiction clause is present","Terms of Use (English)","2026-09-02","passed","2026-09-02","","","",""
"","1829","TC_43 [Vietnamese] — Repeated wrong OTP attempts trigger lockout or throttling","OTP Verification — Wrong-Attempt Tests [Vietnamese]","2026-09-02","passed","2026-09-02","","","",""
"","2467","TC_10 [English] - Verify 'Continue' button is disabled when the phone number field is empty","Beat SFC [English]","2026-09-02","passed","2026-09-02","","Express Signup - Login/OTP Popup [English]","",""
"","5829","TC_05 [English] — Page loads with heading, description, country code selector, phone field, Continue button and reCAPTCHA disclaimer","Organic Signup Journey (English)","2026-09-02","passed","2026-09-02","","Login/Join Page","",""
"","3270","TC_23 [English] - Verify Overview and Matches tabs display content on CONMEBOL Libertadores 2026 page","Tournament Pages [English]","2026-09-02","passed","2026-09-02","","CONMEBOL Libertadores 2026 [English]","",""
"","108","TC_31 [English] - Verify guest user name and Login/Signup button are displayed correctly in English","Profile Page (English)","2026-09-02","passed","2026-09-02","","6. Guest User","",""
"","11269","TC_13 [English] — Network failure on Sign Up shows an appropriate error","Signup Journey — Join Page (English)","2026-09-02","passed","2026-09-02","","","",""
"","268","TC_30 [English] - Verify Match Information section shows match date and venue details","Upcoming Match Details Page [English]","2026-09-02","passed","2026-09-02","","6. Stats Tab [English]","",""
"","7227","TC_10 [Vietnamese] - Verify Team Details page is reachable and loads correctly from Int. Friendly Games 2026","Team Details Page [Vietnamese]","2026-09-02","passed","2026-09-02","","1. Cross-Tournament Reachability [Vietnamese]","",""
"","1464","TC_57 [English] - Verify Profile page layout is correct on tablet viewport 768x1024","Profile Page (English)","2026-09-02","passed","2026-09-02","","11. UI & Responsive","",""
"","7733","TC_15 [English] — Entering an incorrect OTP displays an error and allows the user to retry","Organic Signup Journey (English)","2026-09-02","passed","2026-09-02","","OTP Page — incorrect code","",""
"","224","TC_14 [English] - Verify Team Statistics section shows numeric stat comparison values","Recent Match Details Page [English]","2026-09-02","passed","2026-09-02","","5. Stats Tab [English]","",""
"","198","TC_07 [English] - Verify clicking Team 2 logo navigates to Team 2 details page and back returns to match","Recent Match Details Page [English]","2026-09-02","passed","2026-09-02","","2. Match Header [English]","",""
"","2750","TC_11 [English] - Verify Overview and Matches tabs display content on CONMEBOL Sudamericana 2026 page","Tournament Pages [English]","2026-09-02","passed","2026-09-02","","CONMEBOL Sudamericana 2026 [English]","",""
"","5572","TC03 [English] — Existing account phone submission on Join page is handled appropriately","Smoke Suite [English]","2026-09-02","passed","2026-09-02","","","",""
"","287","TC_33 [English] - Verify clicking Community tab makes it active and loads all 7 social channels","Profile Page (English)","2026-09-02","passed","2026-09-02","","7. Community Tab","",""
"","399","TC_05 [English] - Verify clicking Team 1 logo navigates to Team 1 details page and back returns to match","Upcoming Match Details Page [English]","2026-09-02","passed","2026-09-02","","2. Match Header [English]","",""
"","2859","TC_35 [English] - Verify Overview and Matches tabs display content on V-League 1 26/27 page","Tournament Pages [English]","2026-09-02","passed","2026-09-02","","V-League 1 26/27 [English]","",""
"","5155","TC_18 [English] — Resend OTP after the countdown expires sends a new OTP and resets the timer","OTP Verification [English]","2026-09-02","passed","2026-09-02","","","",""
"","6809","TC08 [Vietnamese] — User is fully authenticated on Dashboard after completing signup","Smoke Suite [Vietnamese]","2026-09-02","passed","2026-09-02","","","",""
"","2874","TC_14 [Vietnamese] - Verify Overview and Matches tabs display content on K-League 1 2026 page","Tournament Pages [Vietnamese]","2026-09-02","passed","2026-09-02","","K-League 1 2026 [Vietnamese]","",""
"","184","TC_19 [Vietnamese] - Verify clicking Preferences tab makes it active and loads Language section with language options","Profile Page (Vietnamese)","2026-09-02","passed","2026-09-02","","5. Preferences Tab","",""
"","13457","TC_34 [Vietnamese] - Verify switching from one team's page to another's fully refreshes with no stale data","Team Details Page [Vietnamese]","2026-09-02","passed","2026-09-02","","6. Data Integrity [Vietnamese]","",""
"","2712","TC01 [Vietnamese] — Landing page loads successfully for a logged-out user","Smoke Suite [Vietnamese]","2026-09-02","passed","2026-09-02","","","",""
"","30047","TC_29 [English] - Verify standings table shows at least 4 team entries","Recent Match Details Page [English]","2026-09-02","broken","2026-09-02","","8. Rankings Tab [English]","",""
"","15626","TC_08 [English] - Verify dismissing the confirmation popup via Esc key keeps the user logged in","Logout (English)","2026-09-02","passed","2026-09-02","","1. Logout Control Visibility & Non-Destructive Popup Checks","",""
"","3009","TC_14 [Vietnamese] - Verify clicking the Today filter displays filtered match results","Dashboard Validation (Vietnamese)","2026-09-02","passed","2026-09-02","","","",""
"","2778","TC_16 [Vietnamese] - Verify clicking the All Matches filter displays filtered match results","Dashboard Validation (Vietnamese)","2026-09-02","passed","2026-09-02","","","",""
"","300","TC_12 [English] - Verify Both Teams Score section shows Yes and No buttons","Upcoming Match Details Page [English]","2026-09-02","passed","2026-09-02","","4. Overview Tab [English]","",""
"","2089","TC_47 [English] - Verify active tab indicator updates on each tab click","Profile Page (English)","2026-09-02","passed","2026-09-02","","9. Tab Switching","",""
"","517","TC_28 [Vietnamese] - Verify switching to English changes the entire page UI language to English","Profile Page (Vietnamese)","2026-09-02","passed","2026-09-02","","5. Preferences Tab","",""
"","3888","TC15 [English] — Upcoming match header shows logos, team names, competition and date/time","Smoke Suite [English]","2026-09-02","passed","2026-09-02","","","",""
"","765","TC_03 [English] - Verify header shows team logos, team names, competition name and date/time","Upcoming Match Details Page [English]","2026-09-02","passed","2026-09-02","","2. Match Header [English]","",""
"","2838","TC_08 [English] - Verify Recent Result cards display completed match information","Dashboard Validation (English)","2026-09-02","passed","2026-09-02","","","",""
"","2776","TC_32 [Vietnamese] - Verify Overview and Matches tabs display content on Club Friendly Games 2026 page","Tournament Pages [Vietnamese]","2026-09-02","passed","2026-09-02","","Club Friendly Games 2026 [Vietnamese]","",""
"","21242","TC_23 [English] — Repeated incorrect OTP attempts are handled gracefully (no crash, consistent error/lockout)","Blue Moon — OTP Page (English)","2026-09-02","passed","2026-09-02","","","",""
"","16911","TC28 [Vietnamese] — Confirming the logout popup is accepted without error","Smoke Suite [Vietnamese]","2026-09-02","passed","2026-09-02","","TC27-TC28 — Logout [Vietnamese]","",""
"","91","TC_07 [English] - Verify Preferences tab is the default active tab on page load","Profile Page (English)","2026-09-02","passed","2026-09-02","","3. Tab Navigation","",""
"","265","TC_25 [English] - Verify Goalkeeping section is displayed with Corners stat row","Upcoming Match Details Page [English]","2026-09-02","passed","2026-09-02","","6. Stats Tab [English]","",""
"","3195","TC17 [English] — Completed match header shows logos, team names and competition name","Smoke Suite [English]","2026-09-02","passed","2026-09-02","","","",""
"","1452","TC_13 [English] - Verify Live Alerts card is displayed in the Feed section","Landing Page Validation (English)","2026-09-02","passed","2026-09-02","","","",""
"","2971","TC_07 [English] - Verify View All option is displayed in the Upcoming section and user is redirected to the Upcoming Matches page after clicking it","Dashboard Validation (English)","2026-09-02","passed","2026-09-02","","","",""
"","6325","TC_17 [Vietnamese] - Verify the team crest/flag icon displays correctly","Team Details Page [Vietnamese]","2026-09-02","passed","2026-09-02","","2. Navigation & Header [Vietnamese]","",""
"","194","TC_19 [English] - Verify Passing section shows numeric stat comparison values","Recent Match Details Page [English]","2026-09-02","passed","2026-09-02","","5. Stats Tab [English]","",""
"","199","TC_36 [English] - Verify standings shows a team name for each of at least 4 teams","Upcoming Match Details Page [English]","2026-09-02","passed","2026-09-02","","8. Rankings Tab [English]","",""
"","109","TC_10 [English] - Verify win prediction section shows percentage values","Upcoming Match Details Page [English]","2026-09-02","passed","2026-09-02","","4. Overview Tab [English]","",""
"","3080","TC_13 [English] - Verify Dashboard page loads without any broken UI elements","Dashboard Validation (English)","2026-09-02","passed","2026-09-02","","","",""
"","2121","TC_02 [Vietnamese] - Verify Profile page is accessible via the Settings icon in the navigation","Profile Page (Vietnamese)","2026-09-02","passed","2026-09-02","","1. Page Load","",""
