"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1408","TC26 [English] — Profile header displays Guest state and Login/Signup button","Smoke Suite [English]","2026-09-02","passed","2026-09-02","","","",""
"","1380","TC_13 [Vietnamese] - Verify clicking Privacy Policy redirects to the Privacy Policy page","Profile Page (Vietnamese)","2026-09-02","passed","2026-09-02","","4. Account Tab","",""
"","1461","TC09 [Vietnamese] — Guest user can access Dashboard page successfully","Smoke Suite [Vietnamese]","2026-09-02","passed","2026-09-02","","","",""
"","7090","TC_07 [Vietnamese] - Verify Cancel/No on the logout confirmation popup keeps the user logged in","Logout (Vietnamese)","2026-09-02","passed","2026-09-02","","1. Logout Control Visibility & Non-Destructive Popup Checks [Vietnamese]","",""
"","5988","TC_15 [English] — Correct OTP auto-submits and navigates to link-telegram","OTP Verification (English)","2026-09-02","passed","2026-09-02","","","",""
"","6101","TC_26 [English] — Telegram-linked status: Connect CTA enabled; Skip path shows no Telegram link","Link Telegram (English)","2026-09-02","passed","2026-09-02","","","",""
"","53498","TC_38 [Vietnamese] — Signup journey renders and functions correctly on a mobile viewport","E2E Journey [Vietnamese]","2026-09-02","broken","2026-09-02","","","",""
"","248","TC_07 [Vietnamese] - Verify clicking Team 2 logo navigates to Team 2 details page and back returns to match","Recent Match Details Page [Vietnamese]","2026-09-02","passed","2026-09-02","","2. Match Header [Vietnamese]","",""
"","5611","TC_04 [Vietnamese] - Verify navigation to Africa Cup of Nations Qualification 2026 and URL/heading are correct","Tournament Pages [Vietnamese]","2026-09-02","passed","2026-09-02","","Africa Cup of Nations Qualification 2026 [Vietnamese]","",""
"","1462","TC_04 [English] - Verify hero tagline text element is displayed","Landing Page Validation (English)","2026-09-02","passed","2026-09-02","","","",""
"","8369","TC28 [Vietnamese] — Confirming the logout popup is accepted without error","Smoke Suite [Vietnamese]","2026-09-02","passed","2026-09-02","","TC27-TC28 — Logout [Vietnamese]","",""
"","146","TC_11 [English] - Verify lineup pitch shows at least 11 players","Recent Match Details Page [English]","2026-09-02","passed","2026-09-02","","4. Lineups Tab [English]","",""
"","6792","TC_18 [Vietnamese] - Verify the team name and competition context line display correctly","Team Details Page [Vietnamese]","2026-09-02","passed","2026-09-02","","2. Navigation & Header [Vietnamese]","",""
"","1498","TC25 [Vietnamese] — Profile page loads successfully via direct URL","Smoke Suite [Vietnamese]","2026-09-02","passed","2026-09-02","","","",""
"","59","TC_05 [English] - Verify Full Time (FT) status indicator is shown in match header","Recent Match Details Page [English]","2026-09-02","passed","2026-09-02","","2. Match Header [English]","",""
"","1953","TC_48 [Vietnamese] - Verify rapid tab switching does not cause content overlap or errors","Profile Page (Vietnamese)","2026-09-02","passed","2026-09-02","","9. Tab Switching","",""
"","1635","TC_23 [Vietnamese] — Directly navigating to the Link Telegram URL without OTP verification is not blocked [Known defect: route not protected]","OTP Verification [Vietnamese]","2026-09-02","passed","2026-09-02","","","",""
"","52197","TC_37 [English] — User who exits at Link Telegram can resume onboarding on return","E2E Journey [English]","2026-09-02","broken","2026-09-02","","","",""
"","31953","TC_30 [Vietnamese] - Verify language setting applies globally to other pages such as Dashboard","Profile Page (Vietnamese)","2026-09-02","broken","2026-09-02","","5. Preferences Tab","",""
"","13354","TC_34 [English] - Verify switching from one team's page to another's fully refreshes with no stale data","Team Details Page [English]","2026-09-02","passed","2026-09-02","","6. Data Integrity [English]","",""
"","198","TC_19 [English] - Verify clicking Preferences tab makes it active and loads Language section with language options","Profile Page (English)","2026-09-02","passed","2026-09-02","","5. Preferences Tab","",""
"","140","TC_11 [English] - Verify Goal Scoring Chances section heading is displayed","Upcoming Match Details Page [English]","2026-09-02","passed","2026-09-02","","4. Overview Tab [English]","",""
"","3042","TC_09 [Vietnamese] - Verify View All option is displayed in the Recent Results section and user is redirected to the Recent Results page after clicking it","Dashboard Validation (Vietnamese)","2026-09-02","passed","2026-09-02","","","",""
"","22834","TC_09 [English] - Verify default country code is pre-selected based on geo-location","Beat SFC [English]","2026-09-02","failed","2026-09-02","","Express Signup - Login/OTP Popup [English]","",""
"","6522","TC_29 [English] — Page displays correct heading, welcome message and CTA button","Welcome Page (English)","2026-09-02","passed","2026-09-02","","","",""
"","6438","TC_17 [English] - Verify the team crest/flag icon displays correctly","Team Details Page [English]","2026-09-02","passed","2026-09-02","","2. Navigation & Header [English]","",""
"","3109","TC_29 [English] - Verify Overview and Matches tabs display content on Int. Friendly Games 2026 page","Tournament Pages [English]","2026-09-02","passed","2026-09-02","","Int. Friendly Games 2026 [English]","",""
"","185","TC_26 [English] - Verify Passing section heading is displayed","Upcoming Match Details Page [English]","2026-09-02","passed","2026-09-02","","6. Stats Tab [English]","",""
"","4207","TC_16 [Vietnamese] - Verify all three Data & Privacy links redirect to their correct pages when clicked in sequence","Profile Page (Vietnamese)","2026-09-02","passed","2026-09-02","","4. Account Tab","",""
"","30062","TC_28 [Vietnamese] - Verify Rankings tab label and standings section heading text are correct","Recent Match Details Page [Vietnamese]","2026-09-02","broken","2026-09-02","","8. Rankings Tab [Vietnamese]","",""
"","1795","TC_17 [Vietnamese] — Login/Signup CTA is no longer displayed after successful login, and a profile avatar is shown instead","Organic Signup Journey (Vietnamese)","2026-09-02","passed","2026-09-02","","Post-Login Dashboard and Settings","",""
"","5220","TC_02 [English] - Verify Back button navigates user back to the Dashboard","Recent Match Details Page [English]","2026-09-02","passed","2026-09-02","","1. Navigation [English]","",""
"","414","TC_36 [Vietnamese] - Verify all 7 social channel links are enabled and clickable in the Community tab","Profile Page (Vietnamese)","2026-09-02","passed","2026-09-02","","7. Community Tab","",""
"","2577","TC10 [English] — Clicking the featured-competition promo banner navigates to that competition page","Smoke Suite [English]","2026-09-02","passed","2026-09-02","","","",""
"","2634","TC_33 [English] - Verify Knockout tab presence and Standings tab content on Club Friendly Games 2026 page","Tournament Pages [English]","2026-09-02","passed","2026-09-02","","Club Friendly Games 2026 [English]","",""
"","6143","TC_25 [English] — ""Maybe later"" navigates to the Welcome page","Link Telegram (English)","2026-09-02","passed","2026-09-02","","","",""
"","10293","TC_19 [English] — Resend OTP after countdown sends new OTP","OTP Verification (English)","2026-09-02","broken","2026-09-02","","","",""
