"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","968","TC_09 [Vietnamese] - Verify user can switch between Lineups, Stats, Play by Play and Rankings tabs","Recent Match Details Page [Vietnamese]","2026-08-31","passed","2026-08-31","","3. Match Detail Tabs [Vietnamese]","",""
"","2909","TC_09 [Vietnamese] - Verify Knockout tab presence and Standings tab content on Brasileiro Serie B 2026 page","Tournament Pages [Vietnamese]","2026-08-31","passed","2026-08-31","","Brasileiro Serie B 2026 [Vietnamese]","",""
"","2731","TC_19 [Vietnamese] - Verify clicking an Upcoming match card navigates to the match detail page","Dashboard Validation (Vietnamese)","2026-08-31","passed","2026-08-31","","","",""
"","5561","TC_10 [English] - Verify navigation to CONMEBOL Sudamericana 2026 and URL/heading are correct","Tournament Pages [English]","2026-08-31","passed","2026-08-31","","CONMEBOL Sudamericana 2026 [English]","",""
"","33273","TC_26 [English] - Verify tapping a Recent Result card navigates to that match's Match Details page","Team Details Page [English]","2026-08-31","passed","2026-08-31","","4. Recent Results [English]","",""
"","215","TC_20 [English] - Verify stat rows display numeric comparison values for both teams","Recent Match Details Page [English]","2026-08-31","passed","2026-08-31","","5. Stats Tab [English]","",""
"","10362","TC12 [Vietnamese] — Selecting a tournament from the competition list navigates to its page","Smoke Suite [Vietnamese]","2026-08-31","broken","2026-08-31","","","",""
"","41","TC_23 [Vietnamese] - Verify Play by Play tab is displayed with correct label","Recent Match Details Page [Vietnamese]","2026-08-31","passed","2026-08-31","","6. Play by Play Tab [Vietnamese]","",""
"","5629","TC_21 [Vietnamese] — Back navigation returns to the Details page","OTP Verification [Vietnamese]","2026-08-31","passed","2026-08-31","","","",""
"","3462","TC_51 [English] - Verify Terms of Service, Privacy Policy and Cookie Policy links each redirect to unique pages","Profile Page (English)","2026-08-31","passed","2026-08-31","","10. Edge Cases","",""
"","4528","TC_49 [Vietnamese] - Verify language selection in Preferences tab persists when switching to other tabs and back","Profile Page (Vietnamese)","2026-08-31","passed","2026-08-31","","9. Tab Switching","",""
"","7027","TC_07 [Vietnamese] - Verify Cancel/No on the logout confirmation popup keeps the user logged in","Logout (Vietnamese)","2026-08-31","passed","2026-08-31","","1. Logout Control Visibility & Non-Destructive Popup Checks [Vietnamese]","",""
"","2440","TC_18 [English] - Verify clicking a Trending Series card navigates to the series detail page","Dashboard Validation (English)","2026-08-31","passed","2026-08-31","","","",""
"","1467","TC_15 [English] - Verify Alerts card with FIFA World Cup 2026™ match info is displayed","Landing Page Validation (English)","2026-08-31","passed","2026-08-31","","","",""
"","1934","TC_27 [Vietnamese] - Verify only one language can be selected at a time (mutual exclusion)","Profile Page (Vietnamese)","2026-08-31","passed","2026-08-31","","5. Preferences Tab","",""
"","5142","TC_07 [Vietnamese] - Verify navigation to Brasileiro Serie B 2026 and URL/heading are correct","Tournament Pages [Vietnamese]","2026-08-31","passed","2026-08-31","","Brasileiro Serie B 2026 [Vietnamese]","",""
"","901","TC_41 [English] — Incorrect OTP shows an error and allows the user to retry","OTP Verification — Wrong-Attempt Tests [English]","2026-08-31","passed","2026-08-31","","","",""
"","120242","TC_03 [English] - Verify header shows team logos, team names and competition name","Recent Match Details Page [English]","2026-08-31","broken","2026-08-31","","2. Match Header [English]","",""
"","2784","TC_52 [Vietnamese] - Verify Profile page loads correctly after clearing all browser cache and storage","Profile Page (Vietnamese)","2026-08-31","passed","2026-08-31","","10. Edge Cases","",""
"","237","TC_32 [Vietnamese] - Verify standings shows a team name for each of at least 4 teams","Recent Match Details Page [Vietnamese]","2026-08-31","passed","2026-08-31","","8. Rankings Tab [Vietnamese]","",""
"","5124","TC_08 [Vietnamese] - Verify Overview and Matches tabs display content on Brasileiro Serie B 2026 page","Tournament Pages [Vietnamese]","2026-08-31","passed","2026-08-31","","Brasileiro Serie B 2026 [Vietnamese]","",""
"","19269","TC_34 [English] - Verify switching from one team's page to another's fully refreshes with no stale data","Team Details Page [English]","2026-08-31","passed","2026-08-31","","6. Data Integrity [English]","",""
"","5506","TC_14 [Vietnamese] - Verify Overview and Matches tabs display content on K-League 1 2026 page","Tournament Pages [Vietnamese]","2026-08-31","passed","2026-08-31","","K-League 1 2026 [Vietnamese]","",""
"","85","TC_04 [English] - Verify Profile header displays Guest username and Login/Signup button for guest user","Profile Page (English)","2026-08-31","passed","2026-08-31","","2. Profile Header","",""
